Name,Position
Shri Narendra Modi,"Ministry of Personnel, Public Grievances and Pensions"
Shri Raj Nath Singh,Ministry of Defence
Shri Amit Shah,Ministry of Home Affairs
Shri Nitin Jairam Gadkari,Ministry of Road Transport and Highways
Shri D.V. Sadananda Gowda,Ministry of Chemicals and Fertilizers
Smt. Nirmala Sitharaman,Ministry of Finance
Shri Ramvilas Paswan,"Ministry of Consumer Affairs, Food and Public Distribution"
Shri Narendra Singh Tomar,Ministry of Agriculture & Farmers Welfare
Shri Ravi Shankar Prasad,Ministry of Law and Justice
Smt. Harsimrat Kaur Badal,Ministry of Food Processing Industries
Shri Thaawar Chand Gehlot,Ministry of Social Justice and Empowerment
Dr. Subrahmanyam Jaishankar,Ministry of External Affairs
Shri Ramesh Pokhriyal 'Nishank',Ministry of Education
Shri Arjun Munda,Ministry of Tribal Affairs
Smt. Smriti Zubin Irani,Ministry of Women and Child Development
Dr. Harsh Vardhan,Ministry of Health and Family Welfare
Shri Prakash Javadekar,"Ministry of Environment, Forest and Climate Change"
Shri Piyush Goyal,Ministry of Railways
Shri Dharmendra Pradhan,Ministry of Petroleum and Natural Gas
Shri Mukhtar Abbas Naqvi,Ministry of Minority Affairs
Shri Pralhad Joshi,Ministry of Parliamentary Affairs
Dr. Mahendra Nath Pandey,Ministry of Skill Development and Entrepreneurship
Shri Giriraj Singh,"Ministry of Animal Husbandry, Dairying and Fisheries"
Shri Gajendra Singh Shekhawat,Ministry of Jal Shakti
Shri Santosh Kumar Gangwar,Ministry of Labour and Employment
Shri Rao Inderjit Singh,Ministry of Statistics and Programme Implementation
Shri Shripad Yesso Naik,"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)"
Dr. Jitendra Singh,Ministry of Development of North Eastern Region
Shri Kiren Rijiju,Ministry of Youth Affairs and Sports
Shri Prahalad Singh Patel,Ministry of Culture
Shri Raj Kumar Singh,Ministry of Power
Shri Hardeep Singh Puri,Ministry of Housing and Urban Affairs
Shri Mansukh L. Mandaviya,Ministry of Shipping
Shri Shripad Yesso Naik,Ministry of Defence
Dr. Jitendra Singh,Prime Minister's Office
Shri Kiren Rijiju,Ministry of Minority Affairs
Shri Raj Kumar Singh,Ministry of Skill Development and Entrepreneurship
Shri Hardeep Singh Puri,Ministry of Commerce and Industry
Shri Mansukh L. Mandaviya,Ministry of Chemicals and Fertilizers
Shri Faggansingh Kulaste,Ministry of Steel
Shri Ashwini Kumar Choubey,Ministry of Health and Family Welfare
Shri Arjun Ram Meghwal,Ministry of Parliamentary Affairs
General (Retd.) V.K. Singh,Ministry of Road Transport and Highways
Shri Krishan Pal,Ministry of Social Justice and Empowerment
Shri Danve Raosaheb Dadarao,"Ministry of Consumer Affairs, Food and Public Distribution"
Shri G. Kishan Reddy,Ministry of Home Affairs
Shri Parshottam Rupala,Ministry of Agriculture & Farmers Welfare
Shri Ramdas Athawale,Ministry of Social Justice and Empowerment
Sadhvi Niranjan Jyoti,Ministry of Rural Development
Shri Babul Supriyo,"Ministry of Environment, Forest and Climate Change"
Shri Sanjeev Kumar Balyan,"Ministry of Animal Husbandry, Dairying and Fisheries"
Shri Dhotre Sanjay Shamrao,Ministry of Education
Shri Anurag Singh Thakur,Ministry of Finance
Shri Angadi Suresh Channabasappa,Ministry of Railways
Shri Nityanand Rai,Ministry of Home Affairs
Shri Rattan Lal Kataria,Ministry of Jal Shakti
Shri V. Muraleedharan,Ministry of External Affairs
Smt. Renuka Singh Saruta,Ministry of Tribal Affairs
Shri Som Parkash,Ministry of Commerce and Industry
Shri Rameswar Teli,Ministry of Food Processing Industries
Shri Pratap Chandra Sarangi,"Ministry of Micro, Small and Medium Enterprises"
Shri Kailash Choudhary,Ministry of Agriculture & Farmers Welfare
Sushri Debasree Chaudhuri,Ministry of Women and Child Development
